Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2021-100867,10/19/2021,10/24/2021,EH-14125,Eugene Hildebrand,Home Office,Canada,Vancouver,British Columbia,V6G,West,TEC-PH-10004922,Golf Apparel,Golf Rangefinders,Comfortable Golf Rangefinders,32.7,3,0,8.5
CA-2021-107153,9/28/2021,10/3/2021,GZ-14545,George Zrebassa,Corporate,Canada,Montreal,Quebec,H1A,East,OFF-ST-10001321,Golf Equipment,Golf Carts,High-Quality Golf Carts,10.688,2,0.2,3.7408
CA-2021-115238,1/21/2021,1/24/2021,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Golf Accessories,,Premium nan,24.3,5,0,10.45
CA-2021-115238,1/21/2021,1/24/2021,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Golf Accessories,,Premium nan,9.48,1,0,3.79
CA-2021-115238,1/21/2021,1/24/2021,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Golf Accessories,,Premium nan,31.4,5,0,13.19
CA-2021-115238,1/21/2021,1/24/2021,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,Golf Equipment,Golf Balls,High-Quality Golf Balls,6.48,1,0,3.11
CA-2021-115238,1/21/2021,1/24/2021,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Golf Apparel,Golf Rangefinders,Comfortable Golf Rangefinders,209.5,10,0,58.66
CA-2021-115777,8/19/2021,8/24/2021,DO-13645,Doug O'Connell,Consumer,Canada,Montreal,Quebec,H1B,East,OFF-PA-10000552,Golf Equipment,Golf Balls,High-Quality Golf Balls,387.99,1,0,182.36
CA-2021-117964,12/2/2021,12/6/2021,MK-19560,Michael Knudson,Corporate,Canada,Moncton,New Brunswick,E1A,East,FUR-FU-10002759,Golf Accessories,,Premium nan,39.96,5,0.6,-20.976
CA-2021-117964,12/2/2021,12/6/2021,MK-19560,Michael Knudson,Corporate,Canada,Moncton,New Brunswick,E1A,East,OFF-AR-10000940,Golf Equipment,Golf Tees,High-Quality Golf Tees,16.464,7,0.2,2.4406
CA-2021-119508,12/4/2021,12/9/2021,TZ-21580,Tracy Zic,Consumer,Canada,Vancouver,British Columbia,V6B,West,FUR-FU-10004270,Golf Accessories,,Premium nan,25.08,6,0,9.03
CA-2021-119508,12/4/2021,12/9/2021,TZ-21580,Tracy Zic,Consumer,Canada,Vancouver,British Columbia,V6B,West,OFF-AR-10003723,Golf Equipment,Golf Tees,High-Quality Golf Tees,16.9,5,0,6.25
CA-2021-123625,12/29/2021,1/2/2022,BG-18435,Bruce Galang,Consumer,Canada,Quebec City,Quebec,G1B,East,FUR-FU-10004093,Golf Accessories,,Premium nan,101.12,8,0,37.4144
CA-2021-123625,12/29/2021,1/2/2022,BG-18435,Bruce Galang,Consumer,Canada,Quebec City,Quebec,G1B,East,FUR-FU-10004093,Golf Accessories,,Premium nan,68.46,2,0,20.538
CA-2021-123625,12/29/2021,1/2/2022,BG-18435,Bruce Galang,Consumer,Canada,Quebec City,Quebec,G1B,East,OFF-FA-10000089,Golf Equipment,,High-Quality nan,68.46,2,0,20.538
CA-2021-123625,12/29/2021,1/2/2022,BG-18435,Bruce Galang,Consumer,Canada,Quebec City,Quebec,G1B,East,OFF-FA-10000089,Golf Equipment,,High-Quality nan,19.6,5,0,9.604
CA-2021-123664,12/2/2021,12/6/2021,NC-19470,Neil Cohen,Home Office,Canada,Halifax,Nova Scotia,B3H,East,FUR-FU-10001588,Golf Accessories,,Premium nan,58.36,5,0.6,-24.803
CA-2021-125388,10/19/2021,10/23/2021,MP-17965,Michael Paige,Corporate,Canada,Montreal,Quebec,H1A,East,FUR-FU-10004712,Golf Accessories,,Premium nan,117.576,3,0.2,11.7576
CA-2021-125388,10/19/2021,10/23/2021,MP-17965,Michael Paige,Corporate,Canada,Montreal,Quebec,H1A,East,OFF-ST-10000918,Golf Equipment,Golf Carts,High-Quality Golf Carts,56.56,4,0,14.71
CA-2021-126438,9/10/2021,9/13/2021,AR-10345,Alex Russell,Corporate,Canada,Montreal,Quebec,H1C,East,OFF-AR-10003338,Golf Equipment,Golf Tees,High-Quality Golf Tees,14.88,2,0,3.72
CA-2021-126634,12/20/2021,12/22/2021,AB-10165,Alan Barnes,Consumer,Canada,Vancouver,British Columbia,V5K,West,FUR-FU-10004973,Golf Accessories,,Premium nan,94.2,5,0,39.56
CA-2021-129322,8/8/2021,8/10/2021,DB-13405,Denny Blanton,Consumer,Canada,Toronto,Ontario,M5H,East,OFF-AP-10004336,Golf Equipment,,High-Quality nan,113.92,2,0,33.04
CA-2021-129322,8/8/2021,8/10/2021,DB-13405,Denny Blanton,Consumer,Canada,Toronto,Ontario,M5H,East,OFF-AR-10004587,Golf Equipment,Golf Tees,High-Quality Golf Tees,39.66,2,0,11.9
CA-2021-129322,8/8/2021,8/10/2021,DB-13405,Denny Blanton,Consumer,Canada,Toronto,Ontario,M5H,East,OFF-BI-10001718,Golf Equipment,Golf Bags,High-Quality Golf Bags,447.86,7,0,210.49
CA-2021-131807,10/5/2021,10/10/2021,GG-14650,Greg Guthrie,Corporate,Canada,Calgary,Alberta,T1Y,West,FUR-CH-10001190,Golf Accessories,Golf Shoes,Premium Golf Shoes,435.17,4,0.2,-59.84
CA-2021-131807,10/5/2021,10/10/2021,GG-14650,Greg Guthrie,Corporate,Canada,Edmonton,Alberta,T5A,West,FUR-FU-10004666,Golf Accessories,,Premium nan,72.9,5,0,26.97
CA-2021-131807,10/5/2021,10/10/2021,GG-14650,Greg Guthrie,Corporate,Canada,Edmonton,Alberta,T5A,West,FUR-TA-10004086,Golf Accessories,Golf Clubs,Premium Golf Clubs,206.35,3,0.2,5.16
CA-2021-131807,10/5/2021,10/10/2021,GG-14650,Greg Guthrie,Corporate,Canada,Edmonton,Alberta,T5A,West,OFF-AP-10004052,Golf Equipment,,High-Quality nan,15.8,4,0,4.11
CA-2021-131807,10/5/2021,10/10/2021,GG-14650,Greg Guthrie,Corporate,Canada,Calgary,Alberta,T1Y,West,OFF-FA-10002780,Golf Equipment,,High-Quality nan,14.9,5,0,6.85
